,n_panelists
2020-12-01,570
2020-12-02,607
2020-12-03,580
2020-12-04,574
2020-12-05,580
2020-12-06,595
2020-12-07,620
2020-12-08,651
2020-12-09,651
2020-12-10,650
2020-12-11,677
2020-12-12,589
2020-12-13,546
2020-12-14,565
2020-12-15,580
2020-12-16,578
2020-12-17,573
2020-12-18,548
2020-12-19,500
2020-12-20,479
2020-12-21,508
2020-12-22,528
2020-12-23,509
2020-12-24,463
2020-12-25,455
2020-12-26,448
2020-12-27,453
2020-12-28,653
2020-12-29,949
2020-12-30,943
2020-12-31,927
2021-01-01,857
2021-01-02,854
2021-01-03,854
2021-01-04,911
2021-01-05,946
2021-01-06,910
2021-01-07,923
2021-01-08,984
2021-01-09,935
2021-01-10,911
2021-01-11,963
2021-01-12,930
2021-01-13,931
2021-01-14,936
2021-01-15,956
2021-01-16,876
2021-01-17,886
2021-01-18,909
2021-01-19,907
2021-01-20,883
2021-01-21,855
2021-01-22,856
2021-01-23,794
2021-01-24,784
2021-01-25,841
2021-01-26,858
2021-01-27,848
2021-01-28,810
2021-01-29,800
2021-01-30,758
2021-01-31,781
2021-02-01,792
2021-02-02,802
2021-02-03,779
2021-02-04,782
2021-02-05,774
2021-02-06,748
2021-02-07,718
2021-02-08,773
2021-02-09,788
